股票代码大全,,
深证A股
序号,代码,名称
1171,300046,台基股份
1172,300047,天源迪科
1173,300048,合康变频
1174,300049,福瑞股份
1175,300050,世纪鼎利
1176,300051,三五互联
1177,300052,中青宝
1178,300053,欧比特
1179,300054,鼎龙股份
1180,300055,万邦达
1181,300056,三维丝
1182,300057,万顺股份
1183,300058,蓝色光标
1184,300059,东方财富
1185,300061,康耐特
1186,300062,中能电气
1187,300063,天龙集团
1188,300064,豫金刚石
1189,300065,海兰信
1190,300066,三川股份
1191,300067,安诺其
1192,300068,南都电源
1193,300069,金利华电
1194,300070,碧水源
1195,300071,华谊嘉信
1196,300072,三聚环保
1197,300073,当升科技
1198,300074,华平股份
1199,300075,数字政通
1200,300076,宁波GQY
1201,300077,国民技术
1202,300078,中瑞思创
1203,300079,数码视讯
1204,300080,新大新材
1205,300081,恒信移动
1206,300082,奥克股份
1207,300083,劲胜股份
1208,300084,海默科技
1209,300085,银之杰
1210,300086,康芝药业
1211,300087,荃银高科
1212,300088,长信科技
1213,300089,长城集团
1214,300090,盛运股份
1215,300091,金通灵
1216,300092,科新机电
1217,300093,金刚玻璃
1218,300094,国联水产
1219,300095,华伍股份
1220,300096,易联众
1221,300097,智云股份
1222,300098,高新兴
1223,300099,尤洛卡
1224,300100,双林股份
1225,300101,国腾电子
1226,300102,乾照光电
1227,300103,达刚路机
1228,300104,乐视网
1229,300105,龙源技术
1230,300106,西部牧业
1231,300107,建新股份
1232,300108,双龙股份
